id,move,description,type,category,power,accuracy,pp,z-effect,priority,crit
644,Spirit Shackle,The user attacks while simultaneously stitching the target’s shadow to the ground to prevent the target from escaping.,Ghost,Physical,80,100%,10,160 Power,0,0
645,Darkest Lariat,The user swings both arms and hits the target. The target’s stat changes don’t affect this attack’s damage.,Dark,Physical,85,100%,10,160 Power,0,0
646,Sparkling Aria,"The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be healed by the touch of these bubbles.",Water,Special,90,100%,10,175 Power,0,0
647,Ice Hammer,"The user swings and hits with its strong, heavy fist. It lowers the user’s Speed, however.",Ice,Physical,100,90%,10,180 Power,0,0
648,Floral Healing,The user restores the target’s HP by up to half of its max HP. It restores more HP when the terrain is grass.,Fairy,Status,0,—,10,Reset user's stats,0,0
649,High Horsepower,The user fiercely attacks the target using its entire body.,Ground,Physical,95,95%,10,175 Power,0,0
650,Strength Sap,The user restores its HP by the same amount as the target’s Attack stat. It also lowers the target’s Attack stat.,Grass,Status,0,—,10,Defense ↑,0,0
651,Solar Blade,"In this two-turn attack, the user gathers light and fills a blade with the light’s energy, attacking the target on the next turn.",Grass,Physical,125,100%,10,190 Power,0,0
652,Leafage,The user attacks by pelting the target with leaves.,Grass,Physical,40,100%,40,100 Power,0,0
653,Spotlight,The user shines a spotlight on the target so that only the target will be attacked during the turn.,Normal,Status,0,—,15,Special Defense ↑,3,0
654,Toxic Thread,The user shoots poisonous threads to poison the target and lower the target’s Speed stat.,Poison,Status,0,100%,20,Speed ↑,0,0
655,Laser Focus,The user concentrates intensely. The attack on the next turn always results in a critical hit.,Normal,Status,0,—,30,Attack ↑,0,0
656,Gear Up,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,Steel,Status,0,—,20,Special Attack ↑,0,0
657,Throat Chop,"The user attacks the target’s throat, and the resultant suffering prevents the target from using moves that emit sound for two turns.",Dark,Physical,80,100%,15,160 Power,0,0
658,Pollen Puff,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.",Bug,Special,90,100%,15,175 Power,0,0
659,Anchor Shot,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,Steel,Physical,80,100%,20,160 Power,0,0
660,Psychic Terrain,This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.,Psychic,Status,0,—,10,Special Attack ↑,0,0
661,Lunge,"The user makes a lunge at the target, attacking with full force. This also lowers the target’s Attack stat.",Bug,Physical,80,100%,15,160 Power,0,0
662,Fire Lash,The user strikes the target with a burning lash. This also lowers the target’s Defense stat.,Fire,Physical,80,100%,15,160 Power,0,0
663,Power Trip,"The user boasts its strength and attacks the target. The more the user’s stats are raised, the greater the move’s power.",Dark,Physical,20,100%,10,160 Power,0,0
664,Burn Up,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",Fire,Special,130,100%,5,195 Power,0,0
665,Speed Swap,The user exchanges Speed stats with the target.,Psychic,Status,0,—,10,Speed ↑,0,0
666,Smart Strike,The user stabs the target with a sharp horn. This attack never misses.,Steel,Physical,70,100%,10,140 Power,0,0
667,Purify,"The user heals the target’s status condition. If the move succeeds, it also restores the user’s own HP.",Poison,Status,0,—,20,All stats ↑,0,0
668,Revelation Dance,The user attacks the target by dancing very hard. The user’s type determines the type of this move.,Normal,Special,90,100%,15,175 Power,0,0
669,Core Enforcer,"If the Pokémon the user has inflicted damage on have already used their moves, this move eliminates the effect of the target’s Ability.",Dragon,Special,100,100%,10,140 Power,0,0
670,Trop Kick,The user lands an intense kick of tropical origins on the target. This also lowers the target’s Attack stat.,Grass,Physical,70,100%,15,140 Power,0,0
671,Instruct,The user instructs the target to use the target’s last move again.,Psychic,Status,0,—,15,Special Attack ↑,0,0
672,Beak Blast,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it’s heating up its beak results in a burn.",Flying,Physical,100,100%,15,180 Power,-3,0
673,Clanging Scales,The user rubs the scales on its entire body and makes a huge noise to attack the opposing Pokémon. The user’s Defense stat goes down after the attack.,Dragon,Special,110,100%,5,185 Power,0,0
674,Dragon Hammer,The user uses its body like a hammer to attack the target and inflict damage.,Dragon,Physical,90,100%,15,175 Power,0,0
675,Brutal Swing,The user swings its body around violently to inflict damage on everything in its vicinity.,Dark,Physical,60,100%,20,120 Power,0,0
676,Aurora Veil,This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.,Ice,Status,0,—,20,Speed ↑,0,0
677,Sinister Arrow Raid,"The user, Decidueye, creates countless arrows using its Z-Power and shoots the target with full force.",Ghost,Physical,180,—,1,~Spirit Shackle,0,0
678,Malicious Moonsault,"The user, Incineroar, strengthens its body using its Z-Power and crashes into the target with full force.",Dark,Physical,180,—,1,~Darkest Lariat,0,0
679,Oceanic Operetta,"The user, Primarina, summons a massive amount of water using its Z-Power and attacks the target with full force.",Water,Special,195,—,1,~Sparkling Aria,0,0
680,Guardian of Alola,"The user, the Land Spirit Pokémon, obtains Alola’s energy using its Z-Power and attacks the target with full force. This reduces the target’s HP greatly.",Fairy,Special,—,—,1,~Nature’s Madness,0,0
681,Soul-Stealing 7-Star Strike,"After obtaining Z-Power, the user, Marshadow, punches and kicks the target consecutively with full force.",Ghost,Physical,195,—,1,~Spectral Thief,0,0
682,Stoked Sparksurfer,"After obtaining Z-Power, the user, Alolan Raichu, attacks the target with full force. This move leaves the target with paralysis.",Electric,Special,175,—,1,~Thunderbolt,0,0
683,Pulverizing Pancake,"Z-Power brings out the true capabilities of the user, Snorlax. The Pokémon moves its enormous body energetically and attacks the target with full force.",Normal,Physical,210,—,1,~Giga Impact,0,0
684,Extreme Evoboost,"After obtaining Z-Power, the user, Eevee, gets energy from its evolved friends and boosts its stats sharply.",Normal,Status,0,—,1,~Last Resort,0,0
685,Genesis Supernova,"After obtaining Z-Power, the user, Mew, attacks the target with full force. The terrain will be charged with psychic energy.",Psychic,Special,185,—,1,~Psychic,0,0
686,Shell Trap,"The user sets a shell trap. If the user is hit by a physical move, the trap will explode and inflict damage on the opposing Pokémon.",Fire,Special,150,100%,5,200 Power,-3,0
687,Fleur Cannon,The user unleashes a strong beam. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,Fairy,Special,130,90%,5,195 Power,0,0
688,Psychic Fangs,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,Psychic,Physical,85,100%,10,160 Power,0,0
689,Stomping Tantrum,"Driven by frustration, the user attacks the target. If the user’s previous move has failed, the power of this move doubles.",Ground,Physical,75,100%,10,140 Power,0,0
690,Shadow Bone,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target’s Defense stat.,Ghost,Physical,85,100%,10,160 Power,0,0
691,Accelerock,The user smashes into the target at high speed. This move always goes first.,Rock,Physical,40,100%,20,100 Power,1,0
692,Liquidation,The user slams into the target using a full-force blast of water. This may also lower the target’s Defense stat.,Water,Physical,85,100%,10,160 Power,0,0
693,Prismatic Laser,The user shoots powerful lasers using the power of a prism. The user can’t move on the next turn.,Psychic,Special,160,100%,10,200 Power,0,0
694,Spectral Thief,"The user hides in the target’s shadow, steals the target’s stat boosts, and then attacks.",Ghost,Physical,90,100%,10,175 Power,0,0
695,Sunsteel Strike,The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Abilities.,Steel,Physical,100,100%,5,180 Power,0,0
696,Moongeist Beam,The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Abilities.,Ghost,Special,100,100%,5,180 Power,0,0
697,Tearful Look,The user gets teary eyed to make the target lose its combative spirit. This lowers the target’s Attack and Sp. Atk stats.,Normal,Status,0,—,20,Defense ↑,0,0
698,Zing Zap,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.",Electric,Physical,80,100%,10,160 Power,0,0
699,Nature’s Madness,The user hits the target with the force of nature. It halves the target’s HP.,Fairy,Special,—,100%,10,100 Power,0,0
700,Multi-Attack,"Cloaking itself in high energy, the user slams into the target. The memory held determines the move’s type.",Normal,Physical,90,100%,10,185 Power,0,0
701,"10,000,000 Volt Thunderbolt","The user, Pikachu wearing a cap, powers up a jolt of electricity using its Z-Power and unleashes it. Critical hits land more easily.",Electric,Special,195,—,1,~Thunderbolt,0,2
