game,platform,developer,genre,number_players,rating,release_date,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score
Graveyard Keeper,PC,Lazy Bear Games,Action Adventure,No Online Multiplayer,,"Aug 15, 2018",2,12,0,5,3,8,69,68
Nintendo Labo: Toycon 03 Vehicle Kit,Switch,Nintendo,Miscellaneous,No Online Multiplayer,E,"Sep 14, 2018",2,8,0,0,0,0,69,72
Jurassic World Evolution,PC,Frontier Developments,Strategy,No Online Multiplayer,T,"Jun 11, 2018",28,26,3,30,15,10,69,72
Earth Atlantis,XONE,Pixel Perfex,Action,No Online Multiplayer,E,"Jun  1, 2018",3,5,1,1,0,0,69,81
LEGO The Incredibles,PS4,TT Games,Action Adventure,No Online Multiplayer,E10+,"Jun 15, 2018",12,23,0,2,2,5,69,46
Lost Sphear,Switch,Tokyo RPG Factory,Role-Playing,No Online Multiplayer,E10+,"Jan 23, 2018",3,14,0,5,2,1,69,73
Lost Sphear,PC,Tokyo RPG Factory,Role-Playing,No Online Multiplayer,E10+,"Jan 23, 2018",3,6,0,1,2,1,69,65
Sea of Thieves,XONE,Rare Ltd.,Role-Playing,Up to 4 ,T,"Mar 20, 2018",21,48,2,287,78,272,69,50
The Spectrum Retreat,XONE,Dan Smith Studios,Adventure,No Online Multiplayer,T,"Jul 13, 2018",4,6,0,1,1,0,69,60
Rust,PC,Facepunch Studios,Historic,Online Multiplayer,,"Feb  8, 2018",6,4,1,55,25,51,69,62
Disco Dodgeball Remix,Switch,Zen Studios,Sports,Online Multiplayer,E10+,"May 22, 2018",2,6,0,2,1,0,69,73
The Crew 2,XONE,Ubisoft Ivory Tower,Racing,Up to 8 ,T,"Jun 26, 2018",16,21,0,3,3,4,69,50
ChromaGun,Switch,Pixel Maniacs,Action,No Online Multiplayer,E10+,"Jan 22, 2018",4,10,0,0,0,1,69,63
Megaquarium,PC,Twice Circled,Strategy,No Online Multiplayer,,"Sep 13, 2018",4,5,1,3,0,1,69,71
FOX n FORESTS,PC,Bonus Level Entertainment,Action,No Online Multiplayer,,"May 17, 2018",2,5,0,7,0,0,69,74
State of Decay 2,PC,Undead Labs,Action Adventure,Up to 4 ,M,"May 22, 2018",13,16,1,22,25,41,69,46
The Walking Dead: The Telltale Series - The Final Season Episode 2: Suffer the Children,PC,Telltale Games,Adventure,No Online Multiplayer,,"Sep 25, 2018",4,14,0,3,1,0,69,73
Dillon's Dead-Heat Breakers,3DS,"Nintendo, Vanpool",Action,No Online Multiplayer,E10+,"May 24, 2018",15,12,2,3,0,0,69,74
State of Mind,PC,Daedalic Entertainment,Action Adventure,No Online Multiplayer,M,"Aug 15, 2018",8,22,0,2,0,0,69,74
Final Fantasy XV Pocket Edition HD,Switch,Square Enix,Role-Playing,No Online Multiplayer,T,"Sep 13, 2018",2,10,0,5,4,0,69,73
Danger Zone 2,XONE,Three Fields Entertainment,Racing,No Online Multiplayer,E10+,"Jul 10, 2018",4,4,0,1,2,1,69,60
Darksiders III,XONE,"Gunfire Games, THQ Nordic",Action Adventure,No Online Multiplayer,M,"Nov 27, 2018",6,13,0,9,6,2,69,73
Manticore: Galaxy on Fire,Switch,Deep Silver,Simulation,No Online Multiplayer,T,"Apr 19, 2018",8,9,3,3,1,2,69,72
Monster Energy Supercross: The Official Videogame,XONE,Milestone S.r.l,Racing,Up to 12 ,E,"Feb 13, 2018",1,7,0,3,1,0,69,83
Conan Exiles,PC,Funcom,Action Adventure,Up to 40 ,,"May  8, 2018",7,16,1,11,3,11,68,64
Empires Apart,PC,DESTINYbit,Strategy,Online Multiplayer,,"Mar 29, 2018",5,7,2,0,0,1,68,43
Lost Sphear,PS4,Tokyo RPG Factory,Role-Playing,No Online Multiplayer,E10+,"Jan 23, 2018",24,29,0,6,4,1,68,69
Steel Rats,PC,Tate Multimedia,Simulation,No Online Multiplayer,,"Nov  7, 2018",3,3,1,4,0,0,68,71
Warriors Orochi 4,XONE,Koei Tecmo Games,Action,Up to 6 ,T,"Oct 16, 2018",3,6,0,1,0,0,68,73
Danger Zone 2,PS4,Three Fields Entertainment,Racing,No Online Multiplayer,E10+,"Jul 13, 2018",5,12,0,1,2,0,68,41
MARVEL Powers United VR,PC,Sanzaru Games,Action,No Online Multiplayer,,"Jul 26, 2018",1,6,0,2,2,0,68,62
The Spectrum Retreat,PC,Dan Smith Studios,Adventure,No Online Multiplayer,,"Jul 13, 2018",2,6,0,0,0,0,68,52
Mercenaries Saga Chronicles,Switch,"RideonJapan,Inc.",Strategy,No Online Multiplayer,T,"Feb  8, 2018",0,10,0,2,1,1,68,72
Deracine,PS4,From Software,Adventure,No Online Multiplayer,T,"Nov  6, 2018",18,33,2,5,0,0,68,78
Heroki,Switch,Picomy,Action,No Online Multiplayer,E,"Jul 20, 2018",2,7,0,1,0,0,68,72
Remothered: Tormented Fathers,XONE,Stormind Games,Action Adventure,No Online Multiplayer,M,"Jul 25, 2018",4,2,1,3,1,0,68,86
de Blob 2,PS4,Blue Tongue Entertainment,Action,No Online Multiplayer,E10+,"Feb 27, 2018",2,8,0,2,1,0,68,57
Strange Brigade,PC,Rebellion,Action,Up to 4 ,T,"Aug 28, 2018",8,13,0,4,2,0,68,68
Frantics,PS4,"Sony Interactive Entertainment, NapNok Games",Miscellaneous,No Online Multiplayer,E,"Mar  6, 2018",13,15,2,13,1,0,68,78
Killing Floor: Incursion,PS4,Tripwire Interactive,Action,2 ,M,"May  1, 2018",6,10,1,1,0,0,68,52
Way of the Passive Fist,XONE,Household Games Inc.,Action,No Online Multiplayer,T,"Mar  7, 2018",2,5,0,2,0,0,68,77
Home Sweet Home,PS4,Mastiff,Action Adventure,No Online Multiplayer,M,"Oct 16, 2018",4,3,1,0,1,1,68,48
Typoman: Revised,Switch,Brainseed Factory,Action,No Online Multiplayer,E10+,"Feb 22, 2018",3,7,0,0,0,1,68,61
Kingdom Come: Deliverance,XONE,Warhorse Studios,Historic,No Online Multiplayer,M,"Feb 13, 2018",9,7,2,39,5,12,68,75
NASCAR Heat 3,XONE,704Games,Racing,Up to 40 ,E10+,"Sep  7, 2018",2,5,0,1,1,0,68,83
The Council - Episode 3: Ripples,PS4,Big Bad Wolf,Adventure,No Online Multiplayer,M,"Jul 24, 2018",2,7,0,1,1,0,68,63
The 25th Ward: The Silver Case,PS4,Grasshopper Manufacture,Adventure,No Online Multiplayer,M,"Mar 13, 2018",5,9,1,0,1,0,68,50
TSIOQUE,PC,OhNoo,Adventure,No Online Multiplayer,,"Nov  7, 2018",4,8,0,5,3,0,68,82
TT Isle of Man,PC,Kylotonn,Racing,Up to 8 ,E,"Mar 27, 2018",2,5,0,0,0,4,68,46
Nintendo Labo: Toycon 02 Robot Kit,Switch,Nintendo,Miscellaneous,No Online Multiplayer,E10+,"Apr 20, 2018",3,12,0,6,1,7,68,64
TT Isle of Man: Ride On The Edge,XONE,"Kylotonn, Maximum Games",Racing,Up to 8 ,E,"Mar  6, 2018",3,7,1,2,2,2,68,77
1979 Revolution: Black Friday,PS4,iNK Stories,Adventure,No Online Multiplayer,M,"Jul 31, 2018",4,4,1,1,0,1,68,49
Saturday Morning RPG,Switch,"Joystick Labs, LLC",Role-Playing,No Online Multiplayer,E10+,"Apr 26, 2018",3,7,0,0,2,0,68,69
Seeking Dawn,PC,"Multiverse Games, Multiverse",Action Adventure,Online Multiplayer,,"Jul 12, 2018",2,6,0,2,2,0,68,76
Genital Jousting,PC,Free Lives,Miscellaneous,Online Multiplayer,,"Jan 18, 2018",4,11,0,7,0,0,68,76
Strikers Edge,PS4,Fun Punch Games,Action,Up to 4 ,T,"Jan 30, 2018",3,12,0,1,1,0,68,52
My Hero One's Justice,PS4,Bandai Namco Games,Action,2 ,T,"Oct 26, 2018",9,25,1,7,5,1,68,75
Just Cause 4,PC,Avalanche Studios,Action Adventure,No Online Multiplayer,M,"Dec  4, 2018",17,20,6,11,10,40,68,51
Conan Exiles,PS4,Funcom,Action Adventure,Up to 40 ,M,"May  8, 2018",10,21,1,10,8,17,68,55
Smoke and Sacrifice,PC,Solar Sail Games,Action Adventure,No Online Multiplayer,E10+,"May 31, 2018",3,12,0,0,0,0,68,29
Jurassic World Evolution,PS4,Frontier Developments,Strategy,No Online Multiplayer,T,"Jun 12, 2018",5,16,0,15,6,3,68,70
Pure Farming 2018,PS4,Techland,Simulation,No Online Multiplayer,E,"Mar 13, 2018",1,9,0,6,2,1,68,66
The Escapists: Complete Edition,Switch,Mouldy Toof Studios,Action,No Online Multiplayer,T,"Sep 25, 2018",4,10,1,0,1,0,67,68
LEGRAND LEGACY: Tale of the Fatebounds,PC,SEMISOFT,Role-Playing,No Online Multiplayer,,"Jan 24, 2018",3,7,0,8,1,3,67,69
Super Bomberman R,PS4,Konami,Puzzle,Up to 8 ,E10+,"Jun 12, 2018",2,10,1,2,1,0,67,54
Yo-kai Watch Blasters: Red Cat Corps,3DS,Level 5,Action,No Online Multiplayer,E10+,"Sep  7, 2018",5,13,2,1,0,1,67,65
Gravel,XONE,Milestone S.r.l,Racing,Up to 8 ,E,"Feb 27, 2018",3,12,0,1,0,0,67,70
InnerSpace,PS4,PolyKnight Games,Simulation,No Online Multiplayer,E,"Jan 16, 2018",4,8,0,3,0,0,67,48
Mutant Football League: Dynasty Edition,Switch,Nighthawk Interactive,Sports,2 ,M,"Oct 30, 2018",3,6,0,8,2,0,67,71
We Happy Few,PS4,Compulsion Games,Action Adventure,No Online Multiplayer,M,"Aug 10, 2018",2,11,0,6,7,9,67,46
Another Sight,PC,Lunar Great Wall Studios,Adventure,No Online Multiplayer,,"Sep  6, 2018",3,7,0,0,0,0,67,55
Steel Rats,PS4,Tate Multimedia,Simulation,No Online Multiplayer,T,"Nov  7, 2018",6,9,1,11,1,0,67,68
My Memory of Us,PS4,Juggler Games,Action,No Online Multiplayer,E10+,"Oct  9, 2018",2,5,0,1,1,0,67,57
Cities: Skylines - Nintendo Switch Edition,Switch,Tantalus,Strategy,No Online Multiplayer,E,"Sep 13, 2018",8,9,1,10,0,1,67,73
Gravel,PS4,Milestone S.r.l,Racing,Up to 8 ,E,"Feb 27, 2018",10,20,0,3,4,2,67,66
The Thin Silence,PC,TwoPM Studios,Adventure,No Online Multiplayer,,"Apr 27, 2018",1,8,0,0,2,0,67,73
The Longest Five Minutes,Switch,Nippon Ichi Software,Role-Playing,No Online Multiplayer,T,"Feb 13, 2018",8,19,0,2,1,1,67,60
Transference,XONE,SpectreVision,Adventure,No Online Multiplayer,M,"Sep 18, 2018",4,6,1,0,1,0,67,56
Shining Resonance Refrain,PS4,Sega,Role-Playing,No Online Multiplayer,T,"Jul 10, 2018",5,21,0,2,1,0,67,68
Guns of Icarus Alliance,PS4,Muse Games,Simulation,Up to 32 ,T,"May  1, 2018",2,7,0,1,0,1,67,35
Urban Trial Playground,Switch,"Teyon, Tate Multimedia",Sports,No Online Multiplayer,E,"Apr  5, 2018",5,9,0,4,2,2,67,64
Rad Rodgers,XONE,Slipgate Studios LLC,3D,No Online Multiplayer,M,"Feb 21, 2018",4,3,1,1,2,0,67,78
"Warhammer 40,000: Inquisitor - Martyr",PC,NeocoreGames,Strategy,Online Multiplayer,M,"Jun  5, 2018",10,18,0,11,1,13,67,64
Bus Simulator 18,PC,stillalive studios,Simulation,Up to 4 ,,"Jun 13, 2018",2,7,0,2,0,0,67,66
Call of Cthulhu,PC,"Cyanide, Cyanide Studios",Role-Playing,No Online Multiplayer,M,"Oct 29, 2018",16,21,2,9,10,4,67,70
Dissidia: Final Fantasy NT,PS4,Team Ninja,Action,Up to 6 ,T,"Jan 30, 2018",20,46,0,28,15,29,67,75
Yo-kai Watch Blasters: White Dog Squad,3DS,Level 5,Action,,E10+,"Sep  7, 2018",3,13,2,0,0,0,67,64
Red Faction: Guerrilla Re-Mars-tered,PC,Volition Inc.,Action,Up to 16 ,M,"Jul  3, 2018",4,10,1,1,2,0,67,58
Sea of Thieves,PC,Rare Ltd.,Role-Playing,Online Multiplayer,T,"Mar 20, 2018",8,21,1,44,22,99,67,41
The Council - Episode 2: Hide and Seek,PS4,Big Bad Wolf,Adventure,No Online Multiplayer,M,"May 15, 2018",4,9,0,2,0,0,67,64
Infernium,Switch,Carlos Coronado,Action Adventure,No Online Multiplayer,T,"Apr  5, 2018",2,5,1,0,0,1,67,70
Monster Energy Supercross: The Official Videogame,PS4,Milestone S.r.l,Racing,Up to 12 ,E,"Feb 13, 2018",6,21,0,4,2,1,67,71
Super Daryl Deluxe,PS4,Dan & Gary Games,Role-Playing,No Online Multiplayer,T,"Apr 10, 2018",3,4,1,1,0,0,67,50
City of Brass,XONE,Uppercut Games Pty Ltd,Action Adventure,No Online Multiplayer,T,"May  5, 2018",4,7,2,1,1,0,67,58
Inked,PC,Somnium Games d.o.o.,Adventure,No Online Multiplayer,,"Apr 26, 2018",5,8,1,2,0,0,67,59
Shape of the World,Switch,Hollow Tree Games,Action Adventure,No Online Multiplayer,E10+,"Jun  6, 2018",3,11,0,1,1,0,67,64
TT Isle of Man: Ride On The Edge,PS4,"Kylotonn, Maximum Games",Racing,Up to 8 ,E,"Mar  6, 2018",4,16,1,9,1,0,67,65
Save me Mr Tako: Tasukete Tako-San,Switch,Nicalis,Action,No Online Multiplayer,,"Oct 30, 2018",8,12,0,3,0,0,67,70
V-Rally 4,XONE,Kylotonn,Racing,Up to 8 ,E,"Sep 11, 2018",3,9,0,1,0,0,67,80
The King's Bird,PC,Serenity Forge,Action,No Online Multiplayer,,"Aug 23, 2018",6,8,1,0,0,0,67,58
Crossing Souls,Switch,Fourattic,Action Adventure,No Online Multiplayer,T,"Jul 26, 2018",1,5,1,0,1,0,67,70
This is the Police 2,PC,Weappy Studio,Simulation,No Online Multiplayer,M,"Jul 31, 2018",15,16,3,4,2,4,66,66
Toki,Switch,Microids,Action,No Online Multiplayer,E10+,"Dec  4, 2018",2,17,1,2,1,1,66,70
State of Mind,PS4,Daedalic Entertainment,Action Adventure,No Online Multiplayer,M,"Aug 15, 2018",11,12,3,1,0,0,66,52
H1Z1: Battle Royale,PS4,"Sony Online Entertainment, Daybreak Games",Action,Up to more than 64 ,T,"Aug  7, 2018",3,6,1,4,6,11,66,41
The Crew 2,PC,Ubisoft Ivory Tower,Racing,Up to 8 ,T,"Jun 28, 2018",5,15,1,5,6,22,66,44
Rad Rodgers,PS4,THQ Nordic,Action,No Online Multiplayer,M,"Feb 21, 2018",6,8,1,1,2,1,66,64
Call of Cthulhu,XONE,"Cyanide, Cyanide Studios",Role-Playing,No Online Multiplayer,M,"Oct 30, 2018",4,7,1,3,1,2,66,59
Through the Woods,XONE,Antagonist,Action Adventure,No Online Multiplayer,M,"May  2, 2018",0,7,0,0,3,0,66,70
Titan Quest,XONE,THQ Nordic,Role-Playing,Up to 6 ,T,"Mar 20, 2018",4,4,1,1,1,1,66,69
State of Decay 2,XONE,Undead Labs,Action Adventure,Up to 4 ,M,"May 18, 2018",26,38,6,123,50,73,66,54
Sinner: Sacrifice for Redemption,XONE,DarkStar Games,Action Adventure,No Online Multiplayer,,"Oct 18, 2018",2,9,0,1,1,1,66,67
MotoGP 18,PS4,Milestone S.r.l,Racing,Up to 12 ,E,"Jun  7, 2018",4,20,1,1,3,4,66,49
City of Brass,PS4,Uppercut Games Pty Ltd,Action Adventure,No Online Multiplayer,T,"May  4, 2018",7,13,2,2,1,0,66,58
Fallen Legion: Rise to Glory,Switch,YummyYummyTummy,Role-Playing,No Online Multiplayer,E10+,"May 29, 2018",3,7,1,0,0,0,66,69
Code of Princess EX,Switch,Nicalis,Role-Playing,No Online Multiplayer,T,"Jul 31, 2018",4,15,1,1,2,2,66,68
AO International Tennis,XONE,Big Ant Studios,Sports,Up to 4 ,E,"May  9, 2018",1,6,1,2,1,0,66,80
Naruto to Boruto: Shinobi Striker,PC,"CyberConnect2, Soleil",Action,Up to 8 ,T,"Aug 30, 2018",1,9,0,3,1,2,66,65
FOX n FORESTS,Switch,Bonus Level Entertainment,Action,No Online Multiplayer,E10+,"May 17, 2018",3,6,0,10,0,0,66,71
Ash of Gods: Redemption,PC,AurumDust,Strategy,Online Multiplayer,,"Mar 23, 2018",7,13,1,13,4,3,65,76
LEGO The Incredibles,Switch,TT Games,Action Adventure,No Online Multiplayer,E10+,"Jun 15, 2018",2,11,1,0,1,0,65,68
Brawlout,XONE,Angry Mob Games,Beat-'Em-Up,Online Multiplayer,E10+,"Aug 21, 2018",2,5,1,0,1,1,65,70
FOX n FORESTS,PS4,Bonus Level Entertainment,Action,No Online Multiplayer,E10+,"May 17, 2018",3,6,0,9,1,0,65,68
Dark Eclipse,PS4,SunSoft,Action,No Online Multiplayer,T,"Sep 25, 2018",3,6,1,3,0,0,65,67
Punch Line,PS4,5pb,Action,,M,"Oct  9, 2018",3,3,2,0,0,1,65,46
Antigraviator,PC,Iceberg Interactive,Racing,Online Multiplayer,,"Jun  6, 2018",3,23,1,1,2,0,65,49
Just Cause 4,PS4,Avalanche Studios,Action Adventure,No Online Multiplayer,M,"Dec  4, 2018",9,30,2,14,9,33,65,52
Titan Quest,Switch,THQ Nordic,Role-Playing,Up to 6 ,T,"Jul 31, 2018",1,14,1,4,1,1,65,65
Battle Princess Madelyn,Switch,Causal Bit Games,Action,No Online Multiplayer,E,"Dec 20, 2018",4,12,0,0,1,0,65,62
Dynasty Warriors 9,PS4,Omega Force,Action,No Online Multiplayer,T,"Feb 13, 2018",14,32,3,10,6,28,65,40
Knowledge is Power: Decades,PS4,Wish Studios,Miscellaneous,No Online Multiplayer,,"Nov 13, 2018",3,4,0,1,0,2,64,47
Pokemon Quest,Switch,Game Freak,Role-Playing,No Online Multiplayer,E,"May 29, 2018",1,10,1,14,12,8,64,68
Vesta,Switch,FinalBoss Games,Action Adventure,No Online Multiplayer,E,"Jan 19, 2018",3,4,0,0,1,0,64,60
The Crew 2,PS4,Ubisoft Ivory Tower,Racing,Up to 8 ,T,"Jun 26, 2018",14,38,1,21,12,27,64,50
Omen of Sorrow,PS4,AOne Games,Action,2 ,T,"Nov  6, 2018",1,11,1,23,3,8,64,61
Conan Exiles,XONE,Funcom,Action Adventure,Up to 40 ,M,"May  8, 2018",5,3,1,3,3,6,64,57
Sword Art Online: Fatal Bullet,PS4,Dimps Corporation,Action,Up to 8 ,T,"Feb 23, 2018",6,33,3,13,1,2,64,72
Farming Simulator 19,PS4,Giants Software,Simulation,Up to 6 ,E,"Nov 20, 2018",5,6,1,1,1,2,64,45
InnerSpace,XONE,PolyKnight Games,Simulation,No Online Multiplayer,E,"Jan 16, 2018",1,6,0,0,1,2,64,33
Kerbal Space Program: Enhanced Edition,PS4,BlitWorks,Simulation,No Online Multiplayer,E,"Jan 16, 2018",1,4,2,7,0,3,64,66
Touhou Genso Wanderer Reloaded,Switch,Mediascape,Role-Playing,No Online Multiplayer,T,"Jul 17, 2018",2,5,1,0,0,0,64,68
Scribblenauts Showdown,PS4,Warner Bros. Interactive Entertainment,Puzzle,No Online Multiplayer,E10+,"Mar  6, 2018",3,13,1,1,1,0,64,66
Override: Mech City Brawl,XONE,Modus,Action,Up to 4 ,T,"Dec  4, 2018",1,8,0,2,0,1,64,65
NASCAR Heat 3,PS4,"Monster Games Inc., 704Games",Racing,Up to 40 ,E10+,"Sep  7, 2018",2,5,2,3,1,0,64,54
Sleep Tight,Switch,We Are Fuzzy,Action,No Online Multiplayer,E10+,"Jul 26, 2018",2,5,1,0,1,0,64,60
Mulaka,PS4,Lienzo,Action Adventure,No Online Multiplayer,T,"Feb 27, 2018",2,13,1,1,1,0,64,71
The Council - Episode 5: Checkmate,PS4,Big Bad Wolf,Adventure,No Online Multiplayer,,"Dec  4, 2018",0,7,0,0,0,0,64,65
"Warhammer 40,000: Inquisitor - Martyr",PS4,Maximum Games,Strategy,Online Multiplayer,M,"Aug 23, 2018",3,13,0,6,3,4,64,62
We Happy Few,XONE,Compulsion Games,Action Adventure,No Online Multiplayer,M,"Aug 10, 2018",5,10,2,6,6,5,64,53
The Council - Episode 5: Checkmate,PC,Big Bad Wolf,Adventure,No Online Multiplayer,,"Dec  4, 2018",1,6,0,0,0,0,64,74
Rainbow Skies,PS4,SideQuest Studios,Role-Playing,No Online Multiplayer,E10+,"Jun 26, 2018",5,15,2,5,0,0,64,55
Super Bomberman R,XONE,Konami,Puzzle,Up to 8 ,E10+,"Jun 12, 2018",2,6,1,1,1,0,63,67
InnerSpace,Switch,PolyKnight Games,Simulation,No Online Multiplayer,E,"Jan 16, 2018",2,15,0,1,0,0,63,68
Airheart: Tales of Broken Wings,PS4,Blindflug Studios,Action,No Online Multiplayer,E10+,"Jul 24, 2018",3,12,1,5,2,2,63,57
Penny-Punching Princess,Switch,Nippon Ichi Software,Role-Playing,No Online Multiplayer,T,"Apr  3, 2018",3,17,2,0,0,0,63,51
Darksiders III,PS4,"Gunfire Games, THQ Nordic",Action Adventure,No Online Multiplayer,M,"Nov 27, 2018",18,29,11,36,13,17,63,75
Battle Princess Madelyn,PS4,Causal Bit Games,Action,No Online Multiplayer,E,"Dec 20, 2018",2,5,1,2,0,1,63,47
Sinner: Sacrifice for Redemption,PC,DarkStar Games,Action Adventure,No Online Multiplayer,,"Oct 18, 2018",1,7,0,3,0,2,63,43
Fable Fortune,PC,Mediatonic,Strategy,Online Multiplayer,,"Feb 21, 2018",1,9,1,1,0,0,63,75
Beholder: Complete Edition,PS4,Warm Lamp Games,Strategy,No Online Multiplayer,T,"Jan 16, 2018",0,8,0,0,1,0,63,58
State of Mind,Switch,Daedalic Entertainment,Action Adventure,No Online Multiplayer,M,"Aug 15, 2018",2,5,0,3,0,0,63,71
The Station,XONE,The Station,Adventure,No Online Multiplayer,T,"Feb 20, 2018",1,13,0,2,2,0,63,80
Murderous Pursuits,PC,Blazing Griffin,Action,Online Multiplayer,,"Apr 20, 2018",1,8,1,0,2,0,63,68
Secret of Mana,PS4,"Square Enix, Q Studios",Role-Playing,No Online Multiplayer,E10+,"Feb 15, 2018",8,45,6,14,8,9,63,60
The Lost Child,Switch,Kadokawa,Role-Playing,No Online Multiplayer,T,"Jun 19, 2018",2,6,1,4,1,0,63,64
The Way Remastered,Switch,Puzzling Dream,Action,No Online Multiplayer,T,"Apr 20, 2018",0,8,1,3,2,1,63,69
Salary Man Escape VR,PS4,"Sony Interactive Entertainment, Red Accent Studios",Puzzle,No Online Multiplayer,E,"Jun 26, 2018",3,11,0,6,2,0,63,69
Destiny 2: Warmind,PS4,Bungie,Action,,,"May  8, 2018",5,20,0,12,15,42,63,28
Trailblazers,PS4,Supergonk Ltd.,Racing,Up to 6 ,E,"May  8, 2018",5,9,1,0,1,0,63,60
Garage,Switch,tinyBuild,Action Adventure,No Online Multiplayer,M,"May 10, 2018",2,5,1,2,0,1,63,68
Planet Alpha,PS4,Adrian Lazar,Action,No Online Multiplayer,T,"Sep  4, 2018",7,6,2,1,1,0,63,63
Call of Cthulhu,PS4,"Cyanide, Cyanide Studios",Role-Playing,No Online Multiplayer,M,"Oct 30, 2018",9,33,4,11,6,3,63,72
Mercenaries Wings: The False Phoenix,Switch,"RideonJapan,Inc.",Action,No Online Multiplayer,,"Nov  8, 2018",0,7,0,1,1,0,63,64
NBA 2K Playgrounds 2,XONE,Saber Interactive,Sports,Up to 4 ,,"Oct 16, 2018",5,6,1,2,1,1,62,63
Deliver Us The Moon: Fortuna,PC,KeokeN Interactive,Adventure,No Online Multiplayer,,"Sep 28, 2018",1,9,1,2,1,2,62,61
Chimparty,PS4,NapNok Games,Miscellaneous,No Online Multiplayer,,"Nov 13, 2018",1,12,0,4,0,1,62,64
Blind,PS4,Tiny Bull Studios,Adventure,No Online Multiplayer,,"Sep 18, 2018",2,5,1,0,0,0,62,50
The Infectious Madness of Doctor Dekker,PS4,D'Avekki Studios Limited,Adventure,No Online Multiplayer,T,"Jun  5, 2018",2,5,1,0,0,0,62,22
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Switch,Koei Tecmo Games,Role-Playing,No Online Multiplayer,T,"Mar 27, 2018",1,10,0,1,0,0,62,70
Gravel,PC,Milestone S.r.l,Racing,Online Multiplayer,E,"Feb 27, 2018",1,8,0,1,1,0,62,70
Gal*Gun 2,Switch,Inti Creates,Action,No Online Multiplayer,M,"Apr 24, 2018",2,11,1,2,1,2,62,66
We Happy Few,PC,Compulsion Games,Action Adventure,No Online Multiplayer,M,"Aug 10, 2018",8,47,5,12,5,14,62,53
Go Vacation,Switch,Bandai Namco Games,Miscellaneous,No Online Multiplayer,E,"Jul 27, 2018",3,23,1,11,0,1,62,76
Gal Metal,Switch,DMM GAMES,Action,No Online Multiplayer,T,"Oct 30, 2018",3,15,2,1,0,1,62,67
The Station,PS4,The Station,Adventure,No Online Multiplayer,T,"Feb 20, 2018",1,13,3,1,1,0,62,64
Galak-Z: Variant S,Switch,"GungHo, 17-Bit",Action,No Online Multiplayer,E,"Jul 12, 2018",1,7,2,0,1,0,62,64
Metal Gear Survive,XONE,Konami,Action Adventure,Up to 4 ,M,"Feb 20, 2018",3,9,2,7,2,16,62,20
Adventure Time: Pirates of the Enchiridion,PS4,Bandai Namco Games,Action Adventure,No Online Multiplayer,E10+,"Jul 17, 2018",3,9,1,0,1,2,62,52
Raging Justice,Switch,MakinGames,Action,No Online Multiplayer,T,"May  8, 2018",1,8,1,1,1,1,62,57
The Lost Child,PS4,Kadokawa,Role-Playing,No Online Multiplayer,T,"Jun 19, 2018",1,10,0,1,1,0,61,51
Naruto to Boruto: Shinobi Striker,PS4,"CyberConnect2, Soleil",Action,Up to 8 ,T,"Aug 31, 2018",2,23,4,5,1,3,61,56
World of Warriors,PS4,Mind Candy,Action,Up to 4 ,T,"Mar 21, 2018",1,11,0,0,0,0,61,27
Sword Art Online: Fatal Bullet,PC,Dimps Corporation,Action,Up to 8 ,T,"Feb 23, 2018",1,5,1,2,0,3,61,74
Destiny 2: Warmind,XONE,Bungie,Action,,,"May  8, 2018",0,7,1,2,4,5,61,34
Downward Spiral: Horus Station,PS4,"3rd Eye Studios Oy LTD, 3rd Eye Studios",Adventure,Online Multiplayer,T,"Sep 18, 2018",1,8,1,0,0,0,61,35
Island Time VR,PS4,Flight School Studio,Action Adventure,,E10+,"Apr  3, 2018",3,3,3,0,0,0,61,45
Metal Max Xeno,PS4,"Cattle Call, 24Frame",Role-Playing,No Online Multiplayer,T,"Sep 25, 2018",2,8,2,2,0,0,61,54
Detective Gallo,Switch,Footprints Games,Adventure,No Online Multiplayer,E,"Aug 17, 2018",3,6,1,0,0,0,61,58
Earthfall,PC,Holospark,Action,Online Multiplayer,T,"Jul 12, 2018",1,14,1,2,1,0,61,54
Far Cry 5: Lost on Mars,PC,Ubisoft Montreal,Action,,M,"Jul 17, 2018",2,9,1,0,0,5,61,33
The Witch and the Hundred Knight 2,PS4,Nippon Ichi Software,Role-Playing,No Online Multiplayer,T,"Mar 27, 2018",3,17,4,0,1,0,61,62
Asterix & Obelix XXL 2,Switch,Etranges Libellules,Action,No Online Multiplayer,,"Nov 29, 2018",1,6,0,0,1,0,61,59
BRAWL,Switch,Bloober Team,Action,Up to 4 ,M,"Jan 12, 2018",1,5,2,0,0,0,60,57
Devil May Cry HD Collection,PS4,"Pipeworks Software, Inc., NeoBards Entertainment",Miscellaneous,No Online Multiplayer,M,"Mar 13, 2018",1,25,1,7,6,4,60,60
Payday 2,Switch,"Sumo Digital, Overkill Software",Action,Up to 4 ,M,"Feb 27, 2018",6,24,4,4,2,6,60,51
SYMMETRY,PC,Sleepless Clinic,Adventure,No Online Multiplayer,,"Feb 20, 2018",1,6,2,0,0,1,60,65
SNK Heroines: Tag Team Frenzy,Switch,SNK Corporation,Action,Up to 8 ,T,"Sep  7, 2018",4,16,4,1,2,0,60,64
