Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
2,beverages,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,root vegetables,whole milk,long life bakery product,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,rolls/buns,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,tropical fruit,yogurt,bottled water,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,citrus fruit,grapes,onions,other vegetables,whipped/sour cream,cream cheese,mayonnaise,frozen vegetables,ice cream,mustard,spices,preservation products,coffee,cocoa drinks,long life bakery product,waffles,chocolate,candy,dish cleaner,abrasive cleaner,hygiene articles,,,,,,,,,,,
1,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,other vegetables,rice,coffee,specialty chocolate,seasonal products,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,onions,whipped/sour cream,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,chicken,frozen vegetables,chocolate,chocolate marshmallow,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,soda,fruit/vegetable juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,pork,other vegetables,whipped/sour cream,frozen vegetables,cereals,cat food,fruit/vegetable juice,cake bar,specialty chocolate,specialty bar,napkins,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,
4,meat,whole milk,domestic eggs,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,condensed milk,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,whole milk,frozen meals,white bread,bottled water,soda,candy,,,,,,,,,,,,,,,,,,,,,,,,,,
5,beef,root vegetables,other vegetables,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,frankfurter,sausage,yogurt,white bread,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
6,sausage,ham,curd,soda,cake bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,canned fish,canned beer,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,citrus fruit,tropical fruit,brown bread,sauces,soda,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,brown bread,salt,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,frankfurter,onions,butter milk,spices,soups,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
7,tropical fruit,grapes,frozen meals,brown bread,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
1,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,herbs,butter,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,root vegetables,specialty bar,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,root vegetables,herbs,whole milk,curd,frozen vegetables,frozen dessert,sweet spreads,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
8,curd,yogurt,white bread,brown bread,flour,artif. sweetener,red/blush wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
5,dessert,misc. beverages,fruit/vegetable juice,popcorn,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,tropical fruit,pip fruit,whole milk,rolls/buns,brown bread,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,
1,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,soda,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hamburger meat,other vegetables,curd,rolls/buns,bottled beer,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bottled water,bottled beer,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,cream cheese,brown bread,meat spreads,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,root vegetables,yogurt,soda,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,canned beer,salty snack,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,whole milk,butter,yogurt,rolls/buns,coffee,fruit/vegetable juice,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,flour,sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,yogurt,whipped/sour cream,UHT-milk,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,other vegetables,cream cheese,rolls/buns,margarine,specialty fat,soups,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,beef,frozen vegetables,rolls/buns,soda,chewing gum,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,
5,beef,sugar,soda,long life bakery product,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pip fruit,processed cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,tropical fruit,pip fruit,frozen meals,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pork,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pork,whole milk,yogurt,cream cheese,rolls/buns,pudding powder,,,,,,,,,,,,,,,,,,,,,,,,,,
11,sausage,beef,hamburger meat,pip fruit,root vegetables,herbs,other vegetables,yogurt,mayonnaise,rolls/buns,dishes,,,,,,,,,,,,,,,,,,,,,
3,chicken,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,frankfurter,beef,other vegetables,pasta,margarine,canned fish,dishes,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
6,other vegetables,whole milk,dessert,cream cheese,sugar,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pip fruit,herbs,other vegetables,whipped/sour cream,oil,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,yogurt,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pork,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pip fruit,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pip fruit,other vegetables,whipped/sour cream,sliced cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,frankfurter,meat,chicken,pip fruit,root vegetables,onions,whipped/sour cream,domestic eggs,potato products,shopping bags,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,butter,yogurt,frozen vegetables,frozen potato products,pickled vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,sausage,citrus fruit,tropical fruit,pip fruit,other vegetables,whole milk,butter,processed cheese,spread cheese,pastry,canned fish,bottled water,red/blush wine,salty snack,long life bakery product,chocolate,female sanitary products,rubbing alcohol,hygiene articles,napkins,house keeping products,,,,,,,,,,,
8,meat,citrus fruit,yogurt,condensed milk,frozen vegetables,spices,meat spreads,canned fish,,,,,,,,,,,,,,,,,,,,,,,,
6,dog food,detergent,hygiene articles,napkins,newspapers,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,hamburger meat,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pip fruit,whole milk,cream cheese,rolls/buns,chocolate,cooking chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
10,tropical fruit,whole milk,frozen meals,frozen dessert,rolls/buns,soda,bottled beer,cake bar,detergent,potted plants,,,,,,,,,,,,,,,,,,,,,,
4,beef,citrus fruit,curd,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,citrus fruit,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,tropical fruit,root vegetables,whole milk,yogurt,frozen potato products,pastry,,,,,,,,,,,,,,,,,,,,,,,,,
5,organic sausage,pork,root vegetables,curd,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,beverages,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,citrus fruit,yogurt,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,berries,yogurt,whipped/sour cream,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,meat,butter,yogurt,rolls/buns,bottled water,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,whole milk,rolls/buns,flour,vinegar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,citrus fruit,tropical fruit,whole milk,rolls/buns,brown bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,
3,beverages,processed cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,other vegetables,sliced cheese,rolls/buns,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,curd cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,grapes,UHT-milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pip fruit,other vegetables,margarine,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,berries,dessert,rolls/buns,soda,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,pork,root vegetables,other vegetables,whole milk,butter milk,yogurt,whipped/sour cream,rolls/buns,flour,cat food,instant coffee,waffles,cling film/bags,newspapers,,,,,,,,,,,,,,,,,,
2,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,bottled water,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sausage,tropical fruit,onions,other vegetables,butter milk,curd cheese,rolls/buns,bottled water,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,
4,pip fruit,rolls/buns,soda,skin care,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,frankfurter,onions,liquor (appetizer),napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,organic sausage,tropical fruit,packaged fruit/vegetables,whole milk,curd,yogurt,soft cheese,curd cheese,frozen vegetables,domestic eggs,rolls/buns,pastry,margarine,bottled water,cooking chocolate,hygiene articles,shopping bags,,,,,,,,,,,,,,,
9,sausage,hamburger meat,whole milk,butter,curd,processed cheese,pastry,Instant food products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
6,frankfurter,sausage,other vegetables,rolls/buns,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,
5,chicken,citrus fruit,other vegetables,whole milk,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,berries,whole milk,curd,yogurt,rolls/buns,pastry,honey,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
1,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,root vegetables,bottled water,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,tropical fruit,root vegetables,curd,yogurt,tea,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
9,beef,other vegetables,whole milk,domestic eggs,margarine,pickled vegetables,bottled water,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,
1,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,hamburger meat,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,domestic eggs,rolls/buns,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dessert,specialty bar,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,beverages,frozen fish,salt,sugar,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,sausage,ham,beef,citrus fruit,berries,yogurt,spread cheese,rolls/buns,cat food,chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,
8,rolls/buns,margarine,bottled water,soda,red/blush wine,chocolate,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,citrus fruit,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,pork,beef,grapes,berries,root vegetables,other vegetables,packaged fruit/vegetables,yogurt,newspapers,,,,,,,,,,,,,,,,,,,,,,,
4,liver loaf,curd,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,frozen dessert,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pork,margarine,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,chicken,root vegetables,other vegetables,rolls/buns,canned beer,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,
4,grapes,pastry,coffee,hair spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,frankfurter,rolls/buns,brown bread,coffee,bottled water,soda,canned beer,chocolate,cling film/bags,shopping bags,,,,,,,,,,,,,,,,,,,,,,
7,frankfurter,hamburger meat,root vegetables,whole milk,yogurt,brown bread,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,whole milk,yogurt,frozen fish,domestic eggs,white bread,margarine,fruit/vegetable juice,waffles,skin care,hygiene articles,,,,,,,,,,,,,,,,,,,,,,
10,sausage,tropical fruit,pip fruit,specialty cheese,ice cream,rolls/buns,soda,specialty chocolate,candy,shopping bags,,,,,,,,,,,,,,,,,,,,,,
1,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pip fruit,cream cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whipped/sour cream,frozen vegetables,flour,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,pasta,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,frankfurter,pip fruit,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,chicken,whole milk,rolls/buns,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,white bread,misc. beverages,bottled beer,liquor,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,yogurt,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sausage,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,hard cheese,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,soda,chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tropical fruit,root vegetables,whole milk,white bread,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tropical fruit,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,butter,rolls/buns,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,curd,cream cheese,rolls/buns,flour,margarine,cat food,coffee,whisky,,,,,,,,,,,,,,,,,,,,,,,,
3,other vegetables,rolls/buns,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,curd,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,beef,whole milk,yogurt,brown bread,dish cleaner,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frozen meals,cereals,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,pork,beef,root vegetables,other vegetables,UHT-milk,spread cheese,mayonnaise,domestic eggs,zwieback,toilet cleaner,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,
6,whole milk,curd,rolls/buns,bottled water,fruit/vegetable juice,soap,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,sausage,pork,beef,hamburger meat,root vegetables,whole milk,butter,dessert,pasta,cat food,chocolate,candles,shopping bags,,,,,,,,,,,,,,,,,,,
5,soft cheese,cream cheese,rolls/buns,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,other vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frozen vegetables,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,chicken,berries,root vegetables,whole milk,butter,whipped/sour cream,cereals,napkins,photo/film,flower (seeds),,,,,,,,,,,,,,,,,,,,,,
3,yogurt,frozen vegetables,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,yogurt,pastry,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,rolls/buns,mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,yogurt,dog food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pork,fish,citrus fruit,whole milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,sausage,tropical fruit,pip fruit,root vegetables,whole milk,yogurt,rolls/buns,pastry,oil,coffee,specialty bar,dish cleaner,cling film/bags,shopping bags,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,grapes,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,whole milk,yogurt,whipped/sour cream,frozen meals,rolls/buns,waffles,newspapers,photo/film,,,,,,,,,,,,,,,,,,,,,,,
1,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,bottled beer,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pork,tropical fruit,pip fruit,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,baking powder,misc. beverages,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,processed cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pork,hamburger meat,other vegetables,brown bread,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cream cheese,rolls/buns,zwieback,dental care,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,onions,other vegetables,whole milk,canned vegetables,soda,fruit/vegetable juice,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,
3,jam,cocoa drinks,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pip fruit,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,frankfurter,sausage,meat,whole milk,beverages,hard cheese,fruit/vegetable juice,bottled beer,sparkling wine,specialty chocolate,napkins,,,,,,,,,,,,,,,,,,,,,
1,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,canned fish,cat food,pet care,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,pork,other vegetables,whole milk,brown bread,pastry,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,bottled water,misc. beverages,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,chewing gum,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,chicken,other vegetables,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,tea,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,frankfurter,sausage,tropical fruit,pip fruit,grapes,other vegetables,whole milk,butter,yogurt,frozen meals,brown bread,red/blush wine,,,,,,,,,,,,,,,,,,,,
2,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,citrus fruit,onions,UHT-milk,brown bread,pastry,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,
11,other vegetables,whole milk,yogurt,frozen meals,semi-finished bread,cat food,soda,fruit/vegetable juice,chocolate,hygiene articles,newspapers,,,,,,,,,,,,,,,,,,,,,
2,whole milk,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,beverages,rolls/buns,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,hamburger meat,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,rolls/buns,cookware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,tropical fruit,grapes,yogurt,frozen vegetables,ice cream,rolls/buns,sugar,soda,detergent,dish cleaner,,,,,,,,,,,,,,,,,,,,,,
6,whole milk,butter milk,hard cheese,coffee,chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,whole milk,curd,whipped/sour cream,cream cheese,white bread,oil,sugar,baking powder,cat food,chocolate,cooking chocolate,,,,,,,,,,,,,,,,,,,,,
5,pasta,sauces,cake bar,chocolate marshmallow,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,whole milk,yogurt,frozen meals,pasta,sauces,canned fish,cat food,pet care,soda,,,,,,,,,,,,,,,,,,,,,,,
3,processed cheese,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,frozen meals,canned beer,red/blush wine,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,sausage,citrus fruit,tropical fruit,grapes,other vegetables,packaged fruit/vegetables,butter,curd,butter milk,yogurt,brown bread,flour,fruit/vegetable juice,waffles,candy,shopping bags,,,,,,,,,,,,,,,,
5,tropical fruit,frozen meals,rolls/buns,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,beef,other vegetables,waffles,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled beer,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,soda,misc. beverages,salty snack,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,whole milk,butter milk,cereals,fruit/vegetable juice,long life bakery product,chocolate,cleaner,newspapers,,,,,,,,,,,,,,,,,,,,,,,
3,beef,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,brown bread,pastry,semi-finished bread,dog food,coffee,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,berries,other vegetables,yogurt,UHT-milk,rolls/buns,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,
10,citrus fruit,pip fruit,butter,spices,bottled beer,long life bakery product,specialty bar,dental care,napkins,light bulbs,,,,,,,,,,,,,,,,,,,,,,
2,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hamburger meat,grapes,whole milk,pastry,pasta,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
