CountryCode,IOC,FIFA,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit,SpecialNotes,Region,IncomeGroup,Wb2Code,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,SourceOfMostRecentIncomeAndExpenditureData,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData
MNP,NA,NA,Northern Mariana Islands,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MP,U.S. dollar,NA,East Asia & Pacific,High income: nonOECD,MP,NA,NA,NA,NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,NA,NA,NA,2010,NA,NA,NA,2007,NA,NA,NA
NOR,NOR,NOR,Norway,Norway,Kingdom of Norway,NO,Norwegian krone,NA,Europe & Central Asia,High income: OECD,NO,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Income survey (IS), 2010",Yes,2010,2010,2013,2006
OED,NA,NA,OECD members,OECD members,OECD members,OE,NA,"OECD members aggregate (all, including developing countries).",NA,NA,OE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMN,OMA,OMA,Oman,Oman,Sultanate of Oman,OM,Rial Omani,Based on official government statistics; the new base year is 2010.,Middle East & North Africa,High income: nonOECD,OM,2010,NA,Value added at producer prices (VAP),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2014",NA,NA,2012/ 2013,2010,2013,2003
OSS,NA,NA,Other small states,Other small states,Other small states,S4,NA,"Other small states aggregate. Includes Bhutan, Botswana, Cabo Verde, Comoros, Djibouti, Equatorial Guinea, Gabon, The Gambia, Guinea-Bissau, Lesotho, Maldives, Mauritius, Montenegro, Namibia, Sao Tome and Principe, Seychelles, Swaziland, and Timor-Leste.",NA,NA,S4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSS,NA,NA,Pacific island small states,Pacific island small states,Pacific island small states,S2,NA,"Pacific island small states aggregate. Includes Fiji, Kiribati, Marshall Islands, Federated States of Micronesia, Palau, Samoa, Solomon Islands, Tonga, Tuvalu, and Vanuatu.",NA,NA,S2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAK,PAK,PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.,South Asia,Lower middle income,PK,2005/06,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1998,"Demographic and Health Survey (DHS), 2012/13","Integrated household survey (IHS), 2010/11",NA,2010,2006,2013,2008
PLW,PLW,NA,Palau,Palau,Republic of Palau,PW,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.,East Asia & Pacific,Upper middle income,PW,2004/05,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,Special trade system,NA,General Data Dissemination System (GDDS),2010,NA,NA,Yes,NA,NA,2012,NA
PAN,PAN,PAN,Panama,Panama,Republic of Panama,PA,Panamanian balboa,The new base year is 2007.,Latin America & Caribbean,Upper middle income,PA,2007,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2013","Integrated household survey (IHS), 2012",NA,2011,2001,2013,2010
PNG,PNG,PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,NA,East Asia & Pacific,Lower middle income,PG,1998,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 1993 System of National Accounts methodology.,1989,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Living Standards Measurement Study Survey (LSMS), 1996","Integrated household survey (IHS), 2009/10",NA,NA,2001,2012,2005
PRY,PAR,PAR,Paraguay,Paraguay,Republic of Paraguay,PY,Paraguayan guarani,"National accounts data have been revised from 1960 onward. The methodology and base year have not changed but the output of two hydroelectric plants (shared with neighboring countries) has been added raising GDP from previous estimates. On the supply side, it was added in ""gas, electricity and water."" On the demand side changes were mainly to exports, but also for imports, investment and consumption. National accounts price valuations for 1991 to 2012 have also been corrected and changed from VAP to VAB.",Latin America & Caribbean,Upper middle income,PY,1994,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Reproductive Health Survey (RHS), 2008","Integrated household survey (IHS), 2013",NA,2008,2002,2013,2012
PER,PER,PER,Peru,Peru,Republic of Peru,PE,Peruvian new sol,The new base year is 2007.,Latin America & Caribbean,Upper middle income,PE,2007,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,198590,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Continuous Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2013",NA,2012,2011,2013,2008
PHL,PHI,PHI,Philippines,Philippines,Republic of the Philippines,PH,Philippine peso,"Source for GNI and net income from abroad is changed to national statistical office from central bank. April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.",East Asia & Pacific,Lower middle income,PH,2000,NA,Value added at producer prices (VAP),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2012",Yes,2012,2008,2013,2009
POL,POL,POL,Poland,Poland,Republic of Poland,PL,Polish zloty,NA,Europe & Central Asia,High income: OECD,PL,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Expenditure survey/budget survey (ES/BS), 2012",Yes,2010,2011,2013,2009
PRT,POR,POR,Portugal,Portugal,Portuguese Republic,PT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,PT,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,NA,Yes,2009,2010,2013,2002
PRI,PUR,PUR,Puerto Rico,Puerto Rico,Puerto Rico,PR,U.S. dollar,"Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data were revised for 2001 onward.",Latin America & Caribbean,High income: nonOECD,PR,1953/54,NA,Value added at producer prices (VAP),NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,NA,NA,NA,General trade system,NA,NA,2010,"Reproductive Health Survey (RHS), 1995/96",NA,Yes,2007,2006,NA,2005
QAT,QAT,QAT,Qatar,Qatar,State of Qatar,QA,Qatari riyal,NA,Middle East & North Africa,High income: nonOECD,QA,2013,NA,Value added at producer prices (VAP),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,NA,NA,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012",NA,Yes,NA,2010,2013,2005
ROM,NA,NA,Romania,Romania,Romania,RO,New Romanian leu,NA,Europe & Central Asia,Upper middle income,RO,2005,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,"198789, 1992",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Reproductive Health Survey (RHS), 2004","Expenditure survey/budget survey (ES/BS), 2012",Yes,2010,2011,2013,2009
RUS,RUS,RUS,Russia,Russian Federation,Russian Federation,RU,Russian ruble,NA,Europe & Central Asia,High income: nonOECD,RU,2000,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,198795,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2013",Yes,2014,2011,2013,2001
RWA,RWA,RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,"Based on official government statistics, national accounts data are revised for 2006 onward; the new base year is 2011. Rwanda reports using SNA 2008.",Sub-Saharan Africa,Low income,RW,2011,NA,Value added at producer prices (VAP),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,1994,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Malaria Indicator Survey (MIS), 2013","Integrated household survey (IHS), 2010/11",NA,2008,NA,2013,2e3
WSM,SAM,SAM,Samoa,Samoa,Samoa,WS,Samoan tala,"Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The new base year is 2008/09. Other methodological changes include increased reliance on summary data from the countrys Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.",East Asia & Pacific,Lower middle income,WS,2008/09,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2009",NA,NA,2009,NA,2013,NA
SMR,SMR,SMR,San Marino,San Marino,Republic of San Marino,SM,Euro,NA,Europe & Central Asia,High income: nonOECD,SM,1995,2000,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,NA,NA,NA,NA,Consolidated central government,General Data Dissemination System (GDDS),2010,NA,NA,Yes,NA,NA,NA,NA
STP,STP,STP,São Tomé and Principe,São Tomé and Principe,Democratic Republic of São Tomé and Principe,ST,São Tomé and Principe dobra,NA,Sub-Saharan Africa,Lower middle income,ST,2001,NA,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2014","Priority survey (PS), 2010",NA,2011/12,NA,2013,1993
SAU,KSA,KSA,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,SA,Saudi Arabian riyal,The new base year is 2010.,Middle East & North Africa,High income: nonOECD,SA,2010,NA,Value added at producer prices (VAP),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,NA,General Data Dissemination System (GDDS),2010,"Demographic survey, 2007",NA,NA,2010,2006,2013,2006
SEN,SEN,SEN,Senegal,Senegal,Republic of Senegal,SN,West African CFA franc,NA,Sub-Saharan Africa,Lower middle income,SN,1999,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014","Priority survey (PS), 2011",NA,2013,2010,2012,2002
SRB,SRB,SRB,Serbia,Serbia,Republic of Serbia,RS,New Serbian dinar,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised. The new reference year for chain linked series is 2010.",Europe & Central Asia,Upper middle income,YF,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 2011",Yes,2012,2011,NA,2009
SYC,SEY,SEY,Seychelles,Seychelles,Republic of Seychelles,SC,Seychelles rupee,"April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.",Sub-Saharan Africa,High income: nonOECD,SC,2006,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,NA,"Budget survey (BS), 2006/07",Yes,2011,NA,2008,2005
SLE,SLE,SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 1990 onward; the base year changed to 2006.",Sub-Saharan Africa,Low income,SL,2006,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Demographic and Health Survey (DHS), 2013; Malaria Indicator Survey (MIS), 2013","Integrated household survey (IHS), 2011",NA,NA,2008,2002,2005
SGP,SGP,SIN,Singapore,Singapore,Republic of Singapore,SG,Singapore dollar,Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008. April 2012 database update: National accounts time series were replaced with official government statistics.,East Asia & Pacific,High income: nonOECD,SG,2010,NA,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Health Survey (NHS), 2010",NA,Yes,NA,2011,2013,1975
SXM,NA,NA,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),SX,Netherlands Antillean guilder,NA,Latin America & Caribbean,High income: nonOECD,SX,NA,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,NA,NA,NA,NA,NA,2011,NA,NA,Yes,NA,NA,NA,NA
SVK,SVK,SVK,Slovak Republic,Slovak Republic,Slovak Republic,SK,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,SK,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Income survey (IS), 2012",Yes,2010,2010,2013,2007
SVN,SLO,SVN,Slovenia,Slovenia,Republic of Slovenia,SI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,SI,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011. Population data compiled from administrative registers.,"World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2012",Yes,2010,2011,2013,2009
SST,NA,NA,Small states,Small states,Small states,S1,NA,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",NA,NA,S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLB,SOL,SOL,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,National accounts data have been revised from 2007 to 2013 based on IMF reports.,East Asia & Pacific,Lower middle income,SB,2004,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,NA,General Data Dissemination System (GDDS),2009,NA,"Integrated household survey (IHS), 2005/06",NA,2012/13,NA,2013,NA
SOM,SOM,SOM,Somalia,Somalia,Somali Democratic Republic,SO,Somali shilling,NA,Sub-Saharan Africa,Low income,SO,1985,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,197790,NA,NA,Estimate,NA,NA,NA,1987,"Multiple Indicator Cluster Survey (MICS), 2006",NA,NA,NA,NA,NA,2003
ZAF,RSA,RSA,South Africa,South Africa,Republic of South Africa,ZA,South African rand,Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010. South Africa reports using SNA 2008.,Sub-Saharan Africa,Upper middle income,ZA,2010,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2003; World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2010/11",NA,2007,2010,2013,2e3
SAS,NA,NA,South Asia,South Asia,South Asia,8S,NA,South Asia regional aggregate. There are no economies in South Asia classified as high income.,NA,NA,8S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSD,SSD,SSD,South Sudan,South Sudan,Republic of South Sudan,SS,South Sudanese Pound,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available.",Sub-Saharan Africa,Low income,SS,2009,NA,NA,IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,NA,NA,NA,NA,NA,NA,2008,"Multiple Indicator Cluster Survey (MICS), 2010","Expenditure survey/budget survey (ES/BS), 2009",NA,NA,NA,2012,2011
ESP,ESP,ESP,Spain,Spain,Kingdom of Spain,ES,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,ES,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Integrated household survey (IHS), 2010",Yes,2010,2010,2013,2008
LKA,SRI,SRI,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,NA,South Asia,Lower middle income,LK,2002,NA,Value added at producer prices (VAP),Blend,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2013",Yes,2013/ 2014,2010,2013,2005
KNA,SKN,SKN,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,KN,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,High income: nonOECD,KN,2006,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,NA,NA,Yes,NA,NA,2011,NA
LCA,LCA,LCA,St. Lucia,St. Lucia,St. Lucia,LC,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,LC,2006,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995",Yes,2007,NA,2008,2005
MAF,NA,NA,St. Martin (French part),St. Martin (French part),St. Martin (French part),MF,Euro,NA,Latin America & Caribbean,High income: nonOECD,MF,NA,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCT,VIN,VIN,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,VC,2006,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,NA,NA,Yes,NA,NA,2012,1995
SSF,NA,NA,Sub-Saharan Africa (all income levels),Sub-Saharan Africa (all income levels),Sub-Saharan Africa (all income levels),ZG,NA,Sub-Saharan Africa regional aggregate (including high-income economies).,NA,NA,ZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSA,NA,NA,Sub-Saharan Africa (developing only),Sub-Saharan Africa,Sub-Saharan Africa (developing only),ZF,NA,Sub-Saharan Africa regional aggregate (does not include high-income economies).,NA,NA,ZF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN,SUD,SDN,Sudan,Sudan,Republic of the Sudan,SD,Sudanese pound,"Demographic data (total population, life expectancy, fertility, child mortality, migration), education series, and HIV prevalence are reported separately for Sudan and South Sudan; see specific notes for other series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan generally include South Sudan to 2011 unless otherwise noted. External debt data and land-related data (including population density, but excluding surface area after 2010) for all years include South Sudan.",Sub-Saharan Africa,Lower middle income,SD,1981/82. Reporting period switch from fiscal year to calendar year from 1996. Pre-1996 data converted to calendar year.,1996,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Multiple Indicator Cluster Survey (MICS), 2014","Expenditure survey/budget survey (ES/BS), 2009",NA,2013/ 2014,2001,2011,2011
SUR,SUR,SUR,Suriname,Suriname,Republic of Suriname,SR,Suriname dollar,NA,Latin America & Caribbean,Upper middle income,SR,2007,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2010","Expenditure survey/budget survey (ES/BS), 1999",Yes,2008,2004,2011,2006
SWZ,SWZ,SWZ,Swaziland,Swaziland,Kingdom of Swaziland,SZ,Swaziland lilangeni,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,SZ,2011,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2014","Expenditure survey/budget survey (ES/BS), 2009/10",NA,2007. Population and Housing Census.,NA,2007,2e3
SWE,SWE,SWE,Sweden,Sweden,Kingdom of Sweden,SE,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income: OECD,SE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Income survey (IS), 2005",Yes,2010,2010,2013,2007
CHE,SUI,SUI,Switzerland,Switzerland,Switzerland,CH,Swiss franc,NA,Europe & Central Asia,High income: OECD,CH,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,NA,"Expenditure survey/budget survey (ES/BS), 2004",Yes,2008,2010,2013,2e3
SYR,SYR,SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SY,Syrian pound,"April 2013 database update: Based on data from the Central Bureau of Statistics, national accounts data were revised for 2003 onward.",Middle East & North Africa,Lower middle income,SY,2000,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1968 System of National Accounts methodology.,19702010,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2006","Expenditure survey/budget survey (ES/BS), 2004",NA,2014,2005,2010,2005
TJK,TJK,TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,NA,Europe & Central Asia,Lower middle income,TJ,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,199095,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2012","Living Standards Measurement Study Survey (LSMS), 2009",NA,2013,NA,2e3,2006
