id,text,author,likes
244,"So I walked back to my room and collapsed on the bottom bunk, thinking that if people were rain, I was drizzle and she was a hurricane.",John Green,12786 likes
245,Just because you have the emotional range of a teaspoon doesn't mean we all have.,J.K. Rowling,12777 likes
246,"Some people don't understand the promises they're making when they make them,"" I said.",John Green,12734 likes
247,"Is this the part where you start tearing off strips of your shirt to bind my wounds?""",Cassandra Clare,12734 likes
248,"I became insane, with long intervals of horrible sanity.",Edgar Allan Poe,12677 likes
249,"I would rather walk with a friend in the dark, than alone in the light.",Helen Keller,12617 likes
250,Numbing the pain for a while will make it worse when you finally feel it.,J.K. Rowling,12605 likes
251,Creativity is knowing how to hide your sources,C.E.M. Joad,12470 likes
252,"Life is an awful, ugly place to not have a best friend.",Sarah Dessen,12420 likes
253,Those who don't believe in magic will never find it.,Roald Dahl,12391 likes
254,"I wish I could freeze this moment, right here, right now and live in it forever.",Suzanne Collins,12363 likes
255,"The truth will set you free, but first it will piss you off.",Joe Klaas,12303 likes
256,"The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.",Rita Mae Brown,12248 likes
257,"I speak to everyone in the same way, whether he is the garbage man or the president of the university.",Albert Einstein,12180 likes
258,"Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers.",Charles William Eliot,12155 likes
259,You can never be overdressed or overeducated.,Oscar Wilde,12148 likes
260,Only the very weak-minded refuse to be influenced by literature and poetry.,Cassandra Clare,12113 likes
261,The only true wisdom is in knowing you know nothing.,Socrates,12081 likes
262,Being a woman is a terribly difficult trade since it consists principally of dealings with men.,Joseph Conrad,12039 likes
263,It's the friends you can call up at 4 a.m. that matter.,Marlene Dietrich,12002 likes
264,"Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.",Lemony Snicket,11966 likes
265,"A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.",William Styron,11939 likes
266,Well-behaved women seldom make history.,Laurel Thatcher Ulrich,11910 likes
267,"I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead.""",Cassandra Clare,11908 likes
268,"Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.",Mark Twain,11854 likes
269,"Happiness is when what you think, what you say, and what you do are in harmony.",Mahatma Gandhi,11801 likes
270,Music expresses that which cannot be put into words and that which cannot remain silent,Victor Hugo,11787 likes
271,The world is not a wish-granting factory.,John Green,11745 likes
272,It's far better to be unhappy alone than unhappy with someone — so far.,Marilyn Monroe,11745 likes
273,"Sometimes you have to be apart from people you love, but that doesn't make you love them any less. Sometimes you love them more.",Nicholas Sparks,11725 likes
274,The Seven Social Sins are:,Frederick Lewis Donaldson,11721 likes
275,"Until I feared I would lose it, I never loved to read. One does not love breathing.",Harper Lee,11713 likes
276,"If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.",Stephen King,11528 likes
277,How wonderful it is that nobody need wait a single moment before starting to improve the world.,Anne Frank,11489 likes
278,A children's story that can only be enjoyed by children is not a good children's story in the slightest.,C.S. Lewis,11454 likes
279,"If you don't know where you're going, any road'll take you there",George Harrison,11318 likes
280,Love is needing someone. Love is putting up with someone's bad qualities because they somehow complete you.,Sarah Dessen,11253 likes
281,"We're all human, aren't we? Every human life is worth the same, and worth saving.",J.K. Rowling,11246 likes
282,"Becoming fearless isn't the point. That's impossible. It's learning how to control your fear, and how to be free from it.",Veronica Roth,11234 likes
283,I am not pretty. I am not beautiful. I am as radiant as the sun.,Suzanne Collins,11212 likes
284,You can love someone so much...But you can never love people as much as you can miss them.,John Green,11209 likes
285,"If you were half as funny as you think you are, you'd be twice as funny as you really are.",H.N. Turteltaub,11197 likes
286,"I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.",Lisa Kleypas,11187 likes
287,"Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.",Terry Pratchett,11129 likes
288,Do you hate people?,Charles Bukowski,11070 likes
289,The Road Not Taken,Robert Frost,11027 likes
290,The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,Isaac Asimov,10979 likes
291,"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn,10975 likes
292,There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons.,Stephen Chbosky,10946 likes
293,"All God does is watch us and kill us when we get boring. We must never, ever be boring.",Chuck Palahniuk,10940 likes
294,What is the point of being alive if you don't at least try to do something remarkable?,John Green,10893 likes
295,"And above all, watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it.",Roald Dahl,10873 likes
296,You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,Albert Camus,10865 likes
