Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
white-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick00.png,No,NA,No,1000.0,250.0,White,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,None,NA,Tile,151.0,facility,shop,None,Brick,For sale,1.0.0,1.0.0,RoomTexWallBrick00,4927.0,htjwxjceb2hc6GxjX
white-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate01.png,No,NA,No,3000.0,750.0,White,Beige,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,fancy,None,None,Chocolate,Not for sale,1.0.0,1.0.0,RoomTexWallChocolate01,4933.0,6qMhFdc2nDSvJSCfT
white-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose02.png,No,NA,No,1720.0,430.0,Pink,White,NA,Nook's Cranny,,Arch,Gray Metal,Glass,None,NA,Stone,151.0,fancy,None,None,Rose Walls,For sale,1.0.0,1.0.0,RoomTexWallRose02,6868.0,yksDvcnnKqM7tnzas
wild-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWildWood00.png,No,NA,Yes,NFS,1800.0,Black,Black,NA,Crafting,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Wood,103.0,living room,shop,None,Wood Walls,Not for sale,1.0.0,1.0.0,RoomTexWallWildWood00,4858.0,vhJr7B96SnG3xQQCs
wooden-knot wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCedar00.png,No,NA,Yes,NFS,1800.0,Brown,Brown,NA,Crafting,,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Stone,103.0,living room,child's room,None,Wood Walls,Not for sale,1.0.0,1.0.0,RoomTexWallCedar00,4911.0,puQYs9hygxfcQWsjt
wooden-mosaic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixPlankWood00.png,No,NA,Yes,NFS,1800.0,Brown,Brown,NA,Crafting,,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,103.0,living room,shop,None,Wood Plank Walls,Not for sale,1.0.0,1.0.0,RoomTexWallMixPlankWood00,4859.0,RgzoarteJyzD4xSAm
woodland wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJukai00.png,No,NA,Yes,NFS,1380.0,Green,Green,NA,Crafting,,None,NA,NA,None,NA,Wood,103.0,horror,facility,None,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallJukai00,5223.0,2B4YTYqnm64vgANY4
yellow flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower02.png,No,NA,No,1780.0,445.0,Yellow,Yellow,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Curtains,Yellow,Cloth,151.0,fancy,living room,None,Flower Walls,For sale,1.0.0,1.0.0,RoomTexWallFlower02,6872.0,esknqzcAenk8uqzYk
yellow heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart02.png,No,NA,No,1280.0,320.0,Yellow,Yellow,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Roller Shades,White,Wood,151.0,fancy,child's room,None,Heart Walls,For sale,1.0.0,1.0.0,RoomTexWallHeart02,6871.0,BqWMEqc2tL8CnPAmd
yellow intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop01.png,No,NA,No,1570.0,392.0,Yellow,White,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Roller Shades,White,Cloth,151.0,living room,shop,None,Flower Pop Walls,For sale,1.0.0,1.0.0,RoomTexWallFlowerPop01,4849.0,FrZas8MjMdjDTPvkX
yellow playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy03.png,No,NA,No,2540.0,635.0,Yellow,Yellow,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Cloth,151.0,child's room,fancy,None,Toy Walls,For sale,1.0.0,1.0.0,RoomTexWallToy03,6865.0,mraytANoYBQvA8qAk
yellow quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse02.png,No,NA,No,2150.0,537.0,Yellow,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,151.0,fancy,child's room,None,Dollhouse Walls,For sale,1.0.0,1.0.0,RoomTexWallDollhouse02,7276.0,ysEdh2vpCpg5qBcNg
yellow simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple01.png,No,NA,No,750.0,187.0,Beige,Yellow,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White,Stone,151.0,child's room,living room,None,Simple Walls,For sale,1.0.0,1.0.0,RoomTexWallSimple01,4867.0,7sSXFNqcYgPMcGY8k
yellow-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco00.png,No,NA,No,1600.0,400.0,Yellow,Yellow,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,None,NA,Cloth,151.0,fancy,child's room,None,Stucco Walls,For sale,1.0.0,1.0.0,RoomTexWallStucco00,4808.0,TySAA4kKqyvGGeZ5C
yellow-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe04.png,No,NA,No,1520.0,380.0,Yellow,Beige,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151.0,fancy,child's room,None,Stripe Walls,For sale,1.0.0,1.0.0,RoomTexWallStripe04,4946.0,N6sef3YhY973LDgdR
